N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL
1;-1;2.5702215850261965;2.8223876274717212;0.1360163142105293;7.664370988294718;1.5602337652611227;0.9626154899597168;0.043070077896118164;34
2;-1;2.5183422035166263;2.8324539188585;0.06884652861938417;8.016790373790608;1.5715200228556379;1.6757688522338867;0.052351951599121094;34
3;-1;2.5502645548792526;2.828781609220224;0.14934624891666992;8.624371617573859;1.5902452554947444;2.5934765338897705;0.06361985206604004;34
4;-1;2.5774483366563183;2.855380092349466;0.0995419576294898;8.412501943362772;1.6272602553188014;3.3064167499542236;0.07530975341796875;34
5;-1;2.599998199252736;2.887556881965675;0.0995419576294898;8.2734494248744;1.6296763199273505;4.063752889633179;0.08959650993347168;34
6;-1;2.6224257398117117;2.9060232104329904;0.0995419576294898;8.442316536436433;1.663525008152451;4.656637907028198;0.10288357734680176;34
1;-2;2.33499080703589;2.662553291689249;0.07872660249262603;8.413164794473808;1.615170004379743;1.5487029552459717;0.046683311462402344;34
2;-2;2.4143358630341565;2.74553831997125;0.04063451747656596;8.340605227181323;1.6813774213631896;2.657351016998291;0.06177043914794922;34
3;-2;2.421143803431183;2.74481427894203;0.2530988902013673;8.455812331466827;1.6783603934411921;4.123298406600952;0.08114051818847656;34
4;-2;2.367799052398759;2.7841473613816885;0.2530988902013673;8.340605227181323;1.7249041439355426;5.1622583866119385;0.09964418411254883;34
5;-2;2.4629831416671;2.8152861146945316;0.2487080181045275;8.317612861081955;1.745401339924603;6.285829544067383;0.11961483955383301;34
6;-2;2.472144168608838;2.8363520994903606;0.09954195797964437;8.688815567691941;1.7552290912625859;7.164576292037964;0.14177274703979492;34
1;-3;2.2362302934674956;2.5754772974943183;0.08171035890160659;8.088589122949784;1.6683857060628635;2.0764858722686768;0.04990816116333008;34
2;-3;2.3069647921063874;2.6950634448379676;0.040634517586248545;8.612369338297524;1.713490020454787;3.542982816696167;0.07085895538330078;34
3;-3;2.4126677322643832;2.734258943536424;0.11927123618883242;8.677861976111508;1.719995111014117;5.435598850250244;0.09535527229309082;34
4;-3;2.431155612560195;2.7720873295854087;0.1492295053488257;8.511819279031599;1.7433716266717785;6.7100160121917725;0.11954617500305176;34
5;-3;2.4504830354747114;2.823854627410225;0.13769305964215126;8.511819279031599;1.7695181173911128;8.221704483032227;0.1459827423095703;34
6;-3;2.4827941509941818;2.8381773049800474;0.13769305964215126;9.128622346309585;1.779777226175114;9.236295461654663;0.17131519317626953;34
1;-4;2.1707941406478444;2.5085316797233315;0.11795664549393582;8.2155825501543;1.7178334583298784;2.677891492843628;0.05477499961853027;34
2;-4;2.285258272485072;2.6590494514516028;0.038125897443759466;8.612369338297523;1.7550890620690847;4.396501302719116;0.08079838752746582;34
3;-4;2.358631002069459;2.7253849642946566;0.06710250033333147;8.607450061943204;1.7448588205320879;6.71838641166687;0.11129999160766602;34
4;-4;2.3942859834515624;2.7697495741652407;0.06710250033333147;9.012628579284526;1.7695718469717432;8.187649250030518;0.1411762237548828;34
5;-4;2.466244988053004;2.8249448297104625;0.06710250033333147;9.012628579284526;1.7764731267587737;9.956114530563354;0.17635464668273926;34
6;-4;2.5491294276054366;2.8461620116963076;0.06710250033333147;9.053560577979248;1.7725749837722387;11.199299812316895;0.20702004432678223;34
1;-5;2.0607006385586546;2.4583313318125075;0.03246166600000237;8.427749891875232;1.7526673228897145;3.2493605613708496;0.0594332218170166;34
2;-5;2.2249122740381324;2.6459208002452286;0.06710250033333147;8.912799218930463;1.7672675828902078;5.227449178695679;0.09094595909118652;34
3;-5;2.388553632766292;2.7398989622319334;0.1318394008772189;8.874804641146534;1.7481648241146555;7.880717992782593;0.12550663948059082;34
4;-5;2.43935134704343;2.781210982274628;0.1318394008772189;8.899436859306437;1.7529103055976496;9.400795221328735;0.16271495819091797;34
5;-5;2.504821381517112;2.834356777905888;0.1318394008772189;8.899436859306437;1.7580574391600154;11.535696268081665;0.19975805282592773;34
6;-5;2.539741653723639;2.858713867224351;0.1318394008772189;9.053560577979248;1.7570157255910575;12.752482891082764;0.23409247398376465;34
