N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
-1;0;7.7811950313392355;9.588993767453879;0.16898056463686706;56.128631487654445;7.662204239051335;11.719020366668701;0.1696608066558838;324
-2;0;6.667894485692225;7.8784886536883505;0.1976083480053009;41.83688902623801;5.958162016128065;7.165905714035034;0.20253753662109375;148
-2;1;7.442173242283763;8.962406271974427;0.2147891285818281;45.60463248851619;7.027381896891246;1.643808126449585;0.2755727767944336;760
-3;0;6.98182085172151;7.589192965197232;0.20331901995600687;37.07879845462988;5.358748984235919;9.147373676300049;0.26821160316467285;108
-3;1;6.686456664956696;7.935374349785006;0.1976083480053009;33.928010482925885;5.9905605018436585;2.856308937072754;0.2822144031524658;289
-3;2;7.453434084562598;8.86156786793355;0.28429186780490373;52.89255305248557;7.483774278501931;1.038433313369751;0.3937647342681885;893
-4;0;6.553010611722218;7.363049434077569;0.20331901995600687;36.15805261045631;5.373223341475178;7.191402196884155;0.30963778495788574;71
-4;1;6.374472447571026;7.854978472745716;0.1976083480053009;45.639184863669406;6.372406898189261;2.4799458980560303;0.30905985832214355;153
-4;2;6.491089226617417;7.757920675312287;0.20331901995600687;36.42038519042874;5.872732715528265;1.4863109588623047;0.39141416549682617;482
-4;3;9.253934746512613;11.997065425322736;0.06199811101093646;76.24926533055907;10.148778986653673;0.8124575614929199;0.5825111865997314;1263
-5;0;6.617610407161676;7.5183887268808185;0.20331901995600687;37.01045335825209;5.354557912323827;8.484103441238403;0.3577761650085449;55
-5;1;6.248536962996958;7.182646612460439;0.07633719240609263;38.19194601019216;5.487816295799966;4.235011339187622;0.3564295768737793;102
-5;2;6.402630437768035;7.648269742359001;0.20331901995600687;38.37765651787773;5.748248798291143;2.001713752746582;0.4041261672973633;283
-5;3;9.4265917680343;11.229079577923027;0.18219541546998966;76.24926533055907;8.432557940952595;0.9265780448913574;0.5424084663391113;722
-5;4;11.61165380009961;15.320894078827008;0.2707264810371122;72.63393433513015;12.334845949329972;0.5144391059875488;0.7486231327056885;1441
-6;0;6.671344180462482;7.649974178486313;0.20331901995600687;40.67531358526447;5.594562104922583;11.441866874694824;0.39809250831604004;48
-6;1;6.336163573694616;7.375836531779589;0.20331901995600687;38.19194601019216;5.309149231317219;6.228335857391357;0.39938950538635254;75
-6;2;6.564277158770038;7.772954970176339;0.38171281146173786;52.89255305248557;6.245521589744244;3.1944518089294434;0.42836618423461914;168
-6;3;8.208016887364648;9.893381702162335;0.45032903975331623;60.315672488002654;7.810216677389462;1.3793315887451172;0.5202653408050537;423
-6;4;11.790297416743055;14.574151595042983;0.5019918027219161;72.63393433513015;11.797951057731323;0.7010681629180908;0.6944010257720947;897
-6;5;13.822088533201478;18.134264158795098;0.5019918027219161;79.73747622373058;14.433058954582314;0.4592561721801758;0.9136765003204346;1495
-7;0;6.609122215605413;7.524944449134186;0.20331901995600687;35.959260743258945;5.4714145501198095;14.188714981079102;0.4443485736846924;40
-7;1;6.353490976810536;7.244171909985298;0.13097501723186109;38.19194601019216;5.28412164038655;7.0581629276275635;0.4432239532470703;63
-7;2;6.699319354313782;7.473868557320737;0.20331901995600687;36.99200976575255;5.396225892241781;4.266668081283569;0.4691190719604492;115
-7;3;7.097065149034998;8.71273168071911;0.20082151567237663;56.839495857467654;6.7252721674384555;2.103222370147705;0.5437321662902832;279
-7;4;9.804859760914542;12.586314697491023;0.18723080587167565;71.83728984733851;11.201513101025203;1.136920690536499;0.6572785377502441;538
-7;5;12.801231094516718;16.915272240080434;0.5506819072346162;79.73747622373058;14.233970901368957;0.6254456043243408;0.9056358337402344;1059
-7;6;14.63936098235633;19.36663683366138;0.405017517903895;77.12403021659513;15.103559260131178;0.41565990447998047;1.1564691066741943;1612
-8;0;6.553010611722218;7.276100366359145;0.20331901995600687;35.959260743258945;5.2077374494966575;14.98459267616272;0.49599170684814453;37
-8;1;6.5210750561772866;7.451679714309074;0.20331901995600687;43.539524238444244;5.530489184417665;8.707916975021362;0.4979841709136963;54
-8;2;6.366653267962652;7.514009974639085;0.20331901995600687;37.79619680472407;5.704635315583823;5.6302807331085205;0.5128495693206787;88
-8;3;7.491230255436114;8.399101775475868;0.4560835862605055;56.839495857467654;5.678398958724628;3.087087392807007;0.5671584606170654;178
-8;4;8.491360533150113;11.601221485838296;0.3028538729332888;69.48471598416447;10.521075217495577;1.624525785446167;0.6544735431671143;350
-8;5;10.446621020163096;15.501974019339185;0.8164208981504135;68.1504630134851;13.778858278830285;0.9314332008361816;0.840864896774292;687
-8;6;14.368698218753991;18.7489687326354;0.937469414102913;77.12403021659513;14.87417610666185;0.543236255645752;1.1327180862426758;1192
-8;7;16.82523863248462;20.392805750873773;0.10605271517061839;76.12618318691933;14.923516966776907;0.34729528427124023;1.3929057121276855;1661
-9;0;6.5345772663875215;7.413282577559573;0.20331901995600687;40.67531358526447;5.359190841020913;18.632914066314697;0.5497450828552246;30
-9;1;6.775860704909205;7.477854627242925;0.20331901995600687;32.07064479012284;5.129389848532162;10.714449405670166;0.5549712181091309;51
-9;2;6.5345772663875215;7.574811856457638;0.20331901995600687;37.24997871099583;5.363973671647387;6.6781697273254395;0.5637381076812744;72
-9;3;7.3305335996001375;8.433591002520497;0.5825672715150092;57.38250852242769;6.339028513578368;3.925063371658325;0.6083693504333496;134
-9;4;8.128497551394377;10.506337334061019;0.4248336237248868;71.98017410480993;9.643929771848837;2.3859641551971436;0.6826450824737549;240
-9;5;9.559151886671;13.651761410733087;0.45716446902193153;75.11282254549802;13.300835311463647;1.4309263229370117;0.8029782772064209;433
-9;6;14.029978426714639;17.965692911347;0.4560377623557739;71.52521166827924;14.896039187791336;0.815798282623291;1.0604746341705322;813
-9;7;15.827660467083936;20.139924062297684;0.10605271517061839;76.59446422291366;15.672583031064422;0.505504846572876;1.3891363143920898;1310
-9;8;18.774883482567127;21.740186422412375;1.079723085898524;77.85528169783987;15.582480022719077;0.4231605529785156;1.6488940715789795;1694
-10;0;6.520000474552726;7.32818844861028;0.20331901995600687;40.67531358526447;5.338075640674864;19.711822509765625;0.60042405128479;30
-10;1;6.792334185286029;7.461200823058834;0.20331901995600687;31.34151702063742;5.11299924799579;12.221790313720703;0.6015121936798096;43
-10;2;6.477737659229048;7.430192994326167;0.20331901995600687;43.539524238444244;5.483157395259882;8.165239572525024;0.61395263671875;63
-10;3;6.9251479005123;8.19215445885234;0.09125621630272407;54.94042339953849;6.227963096292536;5.158256769180298;0.6407790184020996;99
-10;4;7.549144538927218;9.213547839976576;0.09125621630272407;68.1929258981641;7.223448985039894;3.0765647888183594;0.7024767398834229;177
-10;5;9.038306147687464;13.003796659179445;0.4566582039635513;75.20899978804275;12.49410885621949;1.8822426795959473;0.8041865825653076;313
-10;6;11.315157216824325;15.071668625834763;0.16612214482956733;69.79498941328096;13.347903694894399;1.2021055221557617;0.9728562831878662;533
-10;7;12.779422964095847;18.3029461360033;0.10605271517061839;76.24926533055908;15.43596122262553;0.7037339210510254;1.2691631317138672;921
-10;8;16.301539125577417;21.065724908744652;0.6506315353503557;76.78950243839108;15.721439442030873;0.4539620876312256;1.6404974460601807;1384
-10;9;22.20976570133486;25.931491508665015;1.8426923834432969;71.40271878703217;15.872355520820067;0.3213639259338379;1.9039733409881592;1719
-11;0;6.553010611722218;7.315393583465659;0.08513631277824005;40.67531358526447;5.322331674104309;21.129095554351807;0.6562151908874512;26
-11;1;6.520000474552726;7.297202385861911;0.20331901995600687;31.98331688618073;5.040222996222243;14.41485047340393;0.6605737209320068;38
-11;2;6.553010611722218;7.576867378867415;0.20331901995600687;43.539524238444244;5.620761526352943;9.767855167388916;0.6769731044769287;57
-11;3;7.4660992769806604;8.362336894760972;0.09125621630272407;39.35692252166206;5.660929047781511;5.933449983596802;0.6923418045043945;80
-11;4;7.626133227939669;8.911347803219174;0.09125621630272407;50.743918464489035;6.9938124836556215;3.9915969371795654;0.7467978000640869;129
-11;5;8.405509322716199;11.698660324329218;0.20331901995600687;69.73752613944663;10.515517003091373;2.6540727615356445;0.8328402042388916;235
-11;6;9.677328716163494;14.710676575516272;0.20331901995600687;74.06437139303955;13.499677856572253;1.562260627746582;0.9702432155609131;384
-11;7;11.941539239850027;17.228315815963164;0.4314352200158498;77.6190706957866;15.684378237989359;1.0405943393707275;1.1963708400726318;633
-11;8;14.84244527139486;19.77288351108254;0.3408831524307318;77.27617007151584;15.505560317142937;0.6003313064575195;1.5570602416992188;1022
-11;9;23.403438855408396;26.149484799596117;1.0340964909040147;73.73230876582574;16.321222174262072;0.3786587715148926;1.9308185577392578;1433
-11;10;23.302489671040846;26.59237778797798;0.1976200779923339;65.88108304308605;15.83694920812288;0.3276331424713135;2.1669554710388184;1721
